,Name,Mat,Inns,NO,Runs,HS,Ave,BF,SR,X100,X50,X4s,X6s,Ct,St,BattingScore,Base Price,Selected,Price,
163,Denesh Ramdin,141,99,25,1576,84,21.29,1280,123.12,0,7,134,44,93,40,1.153413246,1000000,0,1000000,
164,Kusal Perera,71,68,4,1352,84,21.12,1063,127.18,0,10,120,61,26,14,1.2280725566,1000000,0,1000000,
165,Luke Ronchi,84,76,11,1208,76,18.58,863,139.97,0,3,113,48,56,20,1.4726861879,1000000,0,1000000,
166,Brendan Taylor,104,103,13,2532,101*,28.13,2075,122.02,1,20,226,70,43,11,1.1591580659,1000000,0,1000000,
167,Morne van Wyk,110,106,13,2795,114*,30.05,2277,122.74,1,17,299,73,77,19,1.1802921203,1000000,0,1000000,
168,Ben Dunk,54,51,2,1142,96,23.3,930,122.79,0,6,110,27,31,3,1.1539949457,1000000,0,1000000,
169,Shreevats Goswami,55,48,3,853,52,18.95,901,94.67,0,1,81,11,21,7,0.6885404587,1000000,0,1000000,
170,Sushant Marathe,8,8,1,235,90*,33.57,175,134.28,0,1,27,6,2,1,1.4150780064,1000000,0,1000000,
171,Tim Ludeman,29,24,5,536,92*,28.21,406,132.01,0,3,44,25,15,1,1.3460608785,1000000,0,1000000,
172,CM Gautam,31,27,6,360,53*,17.14,335,107.46,0,1,41,6,20,9,0.8746642519,1000000,0,1000000,
173,Amit Paunikar,22,22,1,421,78*,20.04,376,111.96,0,1,54,8,6,1,0.9555577041,1000000,0,1000000,
174,Ankush Bains,16,15,2,296,54,22.76,315,93.96,0,2,30,2,14,2,0.6904303991,1000000,0,1000000,
175,Davy Jacobs,83,80,14,1707,74,25.86,1452,117.56,0,8,142,60,39,8,1.0705334278,1000000,0,1000000,
176,KB Arun Karthik,47,37,10,590,66,21.85,466,126.6,0,2,56,16,30,3,1.2191631253,1000000,0,1000000,
177,Nikhil Naik,11,10,1,181,52,20.11,162,111.72,0,1,9,9,6,0,0.9518001957,1000000,0,1000000,
178,Smit Patel,12,12,3,329,51,36.55,309,106.47,0,3,30,7,8,0,0.9360820507,1000000,0,1000000,
179,Avi Barot,9,9,1,369,78*,46.12,270,136.66,0,4,47,7,4,0,1.5367083624,1000000,0,1000000,
180,Eklavya Dwivedi,25,22,8,507,65*,36.21,398,127.38,0,2,60,12,10,5,1.2953763015,1000000,0,1000000,
181,Gitansh Khera,7,5,2,65,37*,21.66,47,138.29,0,0,6,1,4,4,1.4471792078,1000000,0,1000000,
182,Abdul Ahad Malek,7,5,2,65,37*,21.66,47,138.29,0,0,6,1,4,4,1.4471792078,1000000,0,1000000,
183,Mahesh Rawat,44,37,13,540,56*,22.5,480,112.5,0,3,49,14,37,11,0.9723283461,1000000,0,1000000,
184,Jitesh Sharma,7,7,0,120,57,17.14,99,121.21,0,1,13,4,4,0,1.1068989275,1000000,0,1000000,
185,Umang Sharma,14,10,1,121,38,13.44,114,106.14,0,0,7,5,6,0,0.8454376024,1000000,0,1000000,
186,Tillakaratne Dilshan,192,188,21,4331,104*,25.93,3581,120.94,1,28,524,89,75,3,1.1313472726,1000000,0,1000000,
187,Irfan Pathan,149,114,44,1585,60,22.64,1312,120.8,0,1,115,55,38,0,1.1157301843,10000000,0,10000000,
188,Marlon Samuels,119,117,23,2952,106*,31.4,2455,120.24,2,21,246,130,32,0,1.1418480243,5000000,0,5000000,
189,Ravi Bopara,200,186,36,4066,105*,27.1,3417,118.99,1,20,337,107,61,0,1.1010185875,3000000,0,3000000,
190,Darren Sammy,167,143,42,1936,60,19.16,1417,136.62,0,2,129,112,71,0,1.4058207637,3000000,0,3000000,
191,Johan Botha,176,126,43,1648,67*,19.85,1471,112.03,0,2,126,35,78,0,0.9562003096,3000000,0,3000000,
192,David Hussey,248,236,46,5822,100*,30.64,4381,132.89,1,31,400,230,121,0,1.375200335,3000000,0,3000000,
193,Robin Peterson,135,94,20,1192,72*,16.1,1076,110.78,0,3,123,26,29,0,0.9257160288,3000000,0,3000000,
194,Sachithra Senanayake,74,33,14,174,20,9.15,178,97.75,0,0,8,6,23,0,0.711930287,3000000,0,3000000,
195,Chris Morris,94,52,25,575,41,21.29,377,152.51,0,0,37,29,33,0,1.7514336752,3000000,0,3000000,
196,Azhar Mahmood,223,202,43,4032,106*,25.35,2983,135.16,2,18,377,136,41,0,1.3978081822,3000000,0,3000000,
197,Nathan McCullum,163,126,35,1559,76*,17.13,1231,126.64,0,4,105,62,63,0,1.2064105807,2000000,0,2000000,
198,Doug Bracewell,44,30,14,456,37,28.5,315,144.76,0,0,22,27,16,0,1.6077846243,2000000,0,2000000,
199,Nathan Reardon,58,51,7,954,56,21.68,765,124.7,0,4,64,45,19,0,1.1834387687,2000000,0,2000000,
200,Ashton Agar,17,14,2,141,35,11.75,137,102.91,0,0,16,3,6,0,0.7924199855,1000000,0,1000000,
201,Justin Ontong,122,101,20,1652,59*,20.39,1378,119.88,0,3,107,52,59,0,1.0923130643,1000000,0,1000000,
202,James Neesham,52,39,13,683,59*,26.26,498,137.14,0,2,53,30,15,0,1.4401541036,1000000,0,1000000,
203,Wayne Parnell,134,67,28,527,35,13.51,456,115.57,0,0,41,17,22,0,1,1000000,0,1000000,
204,Laxmi Shukla,81,64,16,994,76,20.7,824,120.63,0,3,72,40,31,0,1.1065771299,1000000,0,1000000,
205,Albie Morkel,281,226,82,3714,73*,25.79,2685,138.32,0,11,235,215,60,0,1.4627540403,1000000,0,1000000,
206,David Wiese,104,73,29,908,71*,20.63,595,152.6,0,3,68,51,30,0,1.7515513136,1000000,0,1000000,
207,Farhaan Behardien,108,88,29,1836,72,31.11,1471,124.81,0,6,108,69,41,0,1.2223233199,1000000,0,1000000,
208,Jonathan Carter,51,46,5,906,111*,22.09,851,106.46,1,5,62,41,21,1,0.8735023076,1000000,0,1000000,
